model,ns0:participant,ns0:messageFlow,ns0:choreographyTask,ns0:exclusiveGateway,ns0:endEvent,ns0:sequenceFlow,ns0:startEvent,ns0:subChoreography,ns0:intermediateCatchEvent,ns0:eventBasedGateway,ns0:textAnnotation,ns0:association,ns0:parallelGateway,ns0:intermediateThrowEvent,ns0:inclusiveGateway,ns0:extensionElements,ns0:boundaryEvent,ns0:group,ns0:complexGateway
sid-3b30af22-89d4-4b49-a7d6-aca3492f4238,8,5,4,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
sid-6fae257a-0ec8-43ff-881c-e3a7596500f1,13,1,1,3,1,11,1,5,0,0,0,0,0,0,0,0,0,0,0
sid-cbccbb71-e269-456a-a216-28b5830a6b6e,6,3,3,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-ee9539c0-25e5-463f-ba9c-72af1f3d027f,8,5,4,3,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-5e6ef4c6-ff32-4cd0-a252-abf698137e55,22,22,11,2,1,16,1,0,1,0,0,0,0,0,0,0,0,0,0
sid-85f5fbc7-3837-460c-a212-faa2537a2c4b,10,6,5,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-176fe685-76e4-43f0-9d29-6234a4d5de84,14,8,7,2,2,14,1,0,0,2,0,0,0,0,0,0,0,0,0
sid-2e9428a6-0801-4e88-8210-c6bc2f1c40da,20,13,10,2,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-f13fa857-afb8-4e04-babe-a8a479e0f256,12,6,6,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-b8477993-63cb-41ce-8972-7268529ae279,20,5,4,0,1,18,1,6,1,0,1,1,4,0,0,0,0,0,0
sid-674da579-dcef-4775-b703-35d246b67bce,6,6,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-14946a5a-a28c-4301-9343-040b3ffafb3c,10,5,5,1,0,9,1,0,1,1,0,0,0,0,0,0,0,0,0
sid-8705477d-c8ef-4808-8968-2a531fd1726d,18,9,9,0,5,20,1,0,3,0,0,0,3,0,0,0,0,0,0
sid-83deb449-3a89-4172-8d07-ae4d82f33846,3,2,14,7,1,30,1,0,0,1,0,0,2,0,0,0,0,0,0
sid-f1733dfd-bc76-4b2d-b5a7-8a7a4672f011,14,8,7,3,0,12,1,0,0,0,0,0,0,1,0,0,0,0,0
sid-c587606b-ce38-4f08-b71f-6d986b56ae44,18,9,9,7,5,25,1,0,0,1,0,0,0,0,0,0,0,0,0
sid-cd5e6cc0-d59c-4bae-9922-f027f6369b8e,10,5,5,3,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-24949f80-f61f-4372-83d5-6a6139f7126e,14,9,7,0,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0
sid-1f49176a-37aa-4df7-b2da-346f1ef5200c,60,30,30,12,8,68,2,0,2,3,0,0,4,0,0,0,0,0,0
sid-5be5b2a3-7f94-4cff-8c01-066c7d0641b3,4,2,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-c8693574-4e40-4ea7-bcf0-50eb9b6b43d3,6,0,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0
sid-8a23c62b-a1e9-43b3-ad52-b001780d8071,20,11,10,3,3,24,1,0,2,3,0,0,0,0,0,0,0,0,0
sid-885f8791-67f7-435c-a1c1-fa3060464095,14,8,7,2,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-8d6f28e6-0a43-4669-9326-4f9317395505,8,4,4,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
sid-8e3e59a8-9b95-4571-bca9-744d5de853e2,8,4,4,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0
