model,original_file,bpmn2:participant,bpmn2:messageFlow,bpmn2:startEvent,bpmn2:choreographyTask,bpmn2:sequenceFlow,bpmn2:endEvent,ns0:participant,ns0:messageFlow,ns0:startEvent,ns0:choreographyTask,ns0:endEvent,ns0:sequenceFlow,ns0:textAnnotation,ns0:association,ns0:intermediateCatchEvent,ns0:group,bpmn2:exclusiveGateway__unspecified,bpmn2:parallelGateway__unspecified,ns0:exclusiveGateway__Diverging,ns0:eventBasedGateway__Diverging,ns0:exclusiveGateway__Converging,ns0:parallelGateway__Diverging,ns0:parallelGateway__Converging
Choreography,_example.bpmn,3,4,1,4,11,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
sid_00931e22_a013_48e2_abaa_24359dc59979,0c0ac9331020458b98462609af30a68f.bpmn,0,0,0,0,0,0,12,6,1,6,1,11,0,0,0,0,0,0,2,0,0,0,0
sid_013a683b_d99f_4e2b_9a44_a2ab7b15edff,0de8e4ce21f44bee90f179e48cf1bb73.bpmn,0,0,0,0,0,0,8,8,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0
sid_01d27519_68bf_4345_9b31_960cb66effe0,f718227fc3334dedbe51202bfcb198de.bpmn,0,0,0,0,0,0,18,9,1,9,1,13,0,0,0,0,0,0,0,1,0,0,0
sid_049985cd_4703_446d_9018_b094d2a6b682,0b2fda96d32744cb851bd7694ee84469.bpmn,0,0,0,0,0,0,14,8,1,7,1,12,0,0,0,0,0,0,0,2,0,0,0
sid_04d84a1d_db2d_455e_bc39_0d7a8eaa8f28,0e0b0b2756574f6b9a1c2b16800ca609.bpmn,0,0,0,0,0,0,10,5,1,5,1,8,0,0,0,0,0,0,1,0,0,0,0
sid_0536de2b_aa31_4e5c_9056_a8b841e5281d,2a4a450b763d4e7296ba17686ab79b82.bpmn,0,0,0,0,0,0,4,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0
sid_066fd018_ea41_408e_a465_7c059ef87b32,fb31b3ebede04f3aa3651198f26cff45.bpmn,0,0,0,0,0,0,16,8,1,8,1,13,0,0,0,0,0,0,2,0,0,0,0
sid_06969fe5_fc2b_43e3_bc95_202bb6bac771,2dabe75c4fa24abe935fb4ec1c59bb83.bpmn,0,0,0,0,0,0,8,6,1,4,1,9,0,0,0,0,0,0,1,0,1,0,0
sid_0786fa46_44c3_4a36_a523_b1a497dacbfc,6e23032c2c7c4790bf089f85ffd4c01f.bpmn,0,0,0,0,0,0,18,8,1,8,1,12,0,0,0,0,0,0,0,0,0,1,1
