"name","tp","tn","fp","fn","accuracy","f1_macro"
"Baseline Rule-Based Generation",2488,49,1,0,0.999605988967691,0.999799075748443
"x-ai/grok-3-beta - one-shot",632,7702,0,184,0.978398685137356,0.917826055352632
"anthropic/claude-sonnet-4 - one-shot",559,7700,2,257,0.969593801361822,0.861775674125072
"x-ai/grok-3-beta - two-shot",555,7700,2,261,0.96912420756046,0.860913790910247
"anthropic/claude-sonnet-4 - two-shot",584,7699,3,232,0.972411364169993,0.853182209356908
"openai/gpt-4.1 - one-shot",407,7651,2,403,0.952144629563984,0.796613474823575
"openai/gpt-4.1 - two-shot",305,7700,2,511,0.939774594975346,0.696118239190528
"deepseek/deepseek-chat-v3-0324 - two-shot",292,7507,4,509,0.938282001924928,0.669165372779831
"qwen/qwen3-235b-a22b - one-shot",316,7169,293,447,0.910030395136778,0.648467551045304
"qwen/qwen3-235b-a22b - two-shot",255,6907,266,525,0.900540676474286,0.581438211879715
"deepseek/deepseek-chat-v3-0324 - one-shot",292,7518,135,522,0.922404629738987,0.580458502604983
"meta-llama/llama-3.1-405b-instruct - one-shot",138,7410,244,675,0.891460966103697,0.43582655278914
"meta-llama/llama-3.1-405b-instruct - two-shot",136,7394,226,678,0.892814797249229,0.395789384644806
"meta-llama/llama-3.3-70b-instruct - two-shot",92,7457,8,693,0.915030303030303,0.369931373847037
"meta-llama/llama-3.3-70b-instruct - one-shot",114,6931,13,650,0.913985469641931,0.360127365462994
